,track_name,artist(s)_name,release_date
905,XQ Te Pones Asi,"Yandel, Feid",2022-09-13
906,Selfish,PnB Rock,2016-06-23
907,SIN SENAL,"Ovy On The Drums, Quevedo",2022-07-22
908,Lady Mi Amor,Feid,2022-09-13
909,Poland,Lil Yachty,2022-06-23
910,THE LONELIEST,Maneskin,2022-10-07
911,Bye Bye,"Marshmello, Juice WRLD",2022-10-14
912,BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",2022-08-18
913,Nxde,(G)I-DLE,2022-10-17
914,Miss You,Southstar,1982-05-16
915,we fell in love in october,girl in red,2018-11-21
916,2 Be Loved (Am I Ready),Lizzo,2022-07-14
917,Celestial,Ed Sheeran,2022-09-29
918,Typa Girl,BLACKPINK,2022-09-16
919,I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2020-12-18
920,California Breeze,Lil Baby,2022-10-14
921,Bamba (feat. Aitch & BIA),"Luciano, Aitch, BIA",2022-09-22
922,Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",2022-07-01
923,Major Distribution,"Drake, 21 Savage",2022-11-04
924,Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",2022-11-04
925,Vigilante Shit,Taylor Swift,2022-10-21
926,Question...?,Taylor Swift,2022-10-21
927,On BS,"Drake, 21 Savage",2022-11-04
928,Mastermind,Taylor Swift,2022-10-21
929,Circo Loco,"Drake, 21 Savage",2022-11-04
930,Labyrinth,Taylor Swift,2022-10-21
931,Spin Bout U,"Drake, 21 Savage",2022-11-04
932,Sweet Nothing,Taylor Swift,2022-10-21
933,"Would've, Could've, Should've",Taylor Swift,2022-10-21
934,Con La Brisa,"Ludwig Goransson, Foudeqush",2022-11-04
935,Privileged Rappers,"Drake, 21 Savage",2022-11-04
936,The Astronaut,Jin,2022-10-28
937,BackOutsideBoyz,Drake,2022-11-04
938,Broke Boys,"Drake, 21 Savage",2022-11-04
939,The Great War,Taylor Swift,2022-10-21
940,My Mind & Me,Selena Gomez,2022-11-03
941,Bigger Than The Whole Sky,Taylor Swift,2022-10-21
942,A Veces (feat. Feid),"Feid, Paulo Londra",2022-11-03
943,En La De Ella,"Feid, Sech, Jhayco",2022-10-20
944,Alone,Burna Boy,2022-11-04
